No,Gender,County,Category,participant_code
1,Female,Makueni,Farmer,Em1462
2,Female,Makueni,Farmer,Da9861
3,Female,Makueni,Farmer,Ja4196
4,Female,Makueni,Farmer,Ma0126
5,Female,Makueni,Farmer,Mu8000
6,Male,Makueni,Farmer,Jo6024
7,Male,Makueni,Farmer,Ki8480
8,Male,Makueni,Farmer,Mb2335
9,Female,Makueni,Farmer,Sc4327
10,Female,Makueni,Farmer,Nd7166
11,Male,Makueni,Farmer,Ph3907
12,Female,Makueni,VBA,Fr0442
13,Female,Makueni,VBA,Zi8756
14,Male,Makueni,VBA,Al7379
15,Male,Makueni,VBA,Fr6980
16,Female,Makueni,VBA,Eu5637
17,Female,Makueni,Control,Ja2077
18,Male,Nairobi,ICRAF,Fr3638
19,Male,Nairobi,ICRAF,Le0041
20,Male,Nairobi,ICRAF,Ge2692
21,Female,Nairobi,ICRAF,Da8889
22,Male,Embu,VBA,Sa7324
23,Male,Embu,VBA,Da6314
24,Female,Embu,VBA,Es8233
25,Female,Embu,VBA,Ma5703
26,Female,Embu,VBA,Ed9426
27,Female,Embu,VBA,Ma9834
28,Female,Embu,VBA,Ma9803
29,Female,Embu,VBA,Es2266
30,Female,Embu,Farmer,Ru4601
31,Male,Embu,VBA,De2353
32,Male,Embu,VBA,Pa9659
33,Male,Embu,Farmer,Si0675
34,Male,Embu,Control,Ch9283
35,Male,Embu,Control,El1876
36,Male,Embu,VBA,Ta6180
37,Male,Embu,Farmer,Si7580
38,Female,Embu,RA farmer,Jo1194
39,Female,Embu,Farmer,Ra8135
40,Female,Embu,Control,Ve7032
41,Female,Embu,Control,Mu6505
42,Female,Embu,VBA,Jo4550
43,Male,Embu,Farm Africa,Go7732
44,Male,TNC,VBA,Si8261
45,Female,TNC,Control,Ma6831
46,Male,TNC,Farmer,Jo0985
47,Female,TNC,VBA,Ly9312
48,Female,TNC,Farmer,Ch1132
49,Female,TNC,Control,Su3388
50,Female,TNC,VBA,Ro9233
51,Female,TNC,Control,Pa3820
52,Male,TNC,Farmer,Ja1601
53,Female,TNC,Farmer,St0848
54,Male,TNC,Control,Ju9294
55,Male,TNC,Control,Ge4159
56,Female,TNC,Farmer,Se6506
57,Female,TNC,VBA,Ch5204
58,Female,TNC,VBA,Fr6015
59,Male,TNC,Farmer,Pe5235
60,Female,TNC,Control,Ir6337
61,Male,TNC,VBA,Bo0392
62,Male,TNC,VBA,Be1670
63,Male,TNC,Farm Africa,Jo3192
64,Male,TNC,Farmer,Du2645
65,Female,Kitui,VBA,Ju1061
66,Male,Kitui,VBA,Pa6310
67,Male,Kitui,VBA,Jo6378
68,Male,Kitui,VBA,Ja5174
69,Female,Kitui,VBA,Na1875
70,Female,Kitui,VBA,Fl8334
71,Male,Kitui,Farmer,Al8607
72,Male,Kitui,Control,Ju7543
73,Male,Kitui,Farmer,Ja1501
74,Female,Kitui,Control,Fe5772
75,Female,Kitui,Farmer,Sh6972
76,Female,Kitui,Farmer,Re0109
77,Female,Kitui,Village Administrator,Eu0326
78,Male,Kitui,AC-CGA,Sa4004
79,Male,Kitui,AC-CGA,Sh7513
80,Male,Kitui,CoG  Kitui,Ab0565